dealerCode,dealerName,dealerAddress,dealerCity,dealerState,dealerZip,dealerRadius,latitude,longitude,Rating,LifeTimeReviews,Recommended
42320,TOYOTA OF LEWISVILLE,1547 South Stemmons Freeway,LEWISVILLE,TX,75067,NULL,33.023454,-96.987617,4.6,251,NULL
AD1646CRY,POWAY CHRYSLER,13811 Poway Road,POWAY,CA,92064,20,32.956268,-117.031787,1,3,NULL
AD1648DGE,POWAY DODGE,13811 Poway Road,POWAY,CA,92064,20,32.956268,-117.031787,1,3,NULL
AD1649RAM,POWAY RAM,13811 Poway Road,POWAY,CA,92064,20,32.956268,-117.031787,1,3,NULL
AD1651FRD,SARASOTA FORD,707 S Washington Blvd,SARASOTA,FL,34236,20,27.329046,-82.530599,4.8,88,NULL
AD1656BUI,DAVE ARBOGAST BUICK,3540 S. County Rd. 25A,TROY,OH,45373,40,39.988296,-84.200431,4.8,268,NULL
AD1657GMC,DAVE ARBOGAST GMC,3540 S. County Rd. 25A,TROY,OH,45373,40,39.988296,-84.200431,4.8,268,NULL
AD1658HON,SCHOMP HONDA,5700 S Broadway,LITTLETON,CO,80121,40,39.612347,-104.987946,4.5,212,NULL
AD1659SUB,FINDLAY SUBARU,1405 S. Sunland Dr.,ST. GEORGE,UT,84790,90,37.082915,-113.58093,0,0,NULL
AD1660KIA,FINDLAY KIA,1369 S. Sunland Dr.,ST. GEORGE,UT,84790,70,37.085009,-113.58106,0,0,NULL
AD1661VWG,FINDLAY VW,1333 S. Sunland Dr.,ST. GEORGE,UT,84790,90,37.085009,-113.58106,4.9,65,NULL
AD1665VWG,STREET VOLKSWAGEN OF AMARILLO,2725 SW 45th Ave,AMARILLO,TX,79119,100,35.163846,-101.869016,0,0,NULL
AD1667GMC,POAGE GMC,4300 Broadway,QUINCY,IL,62305,75,39.93508,-91.345393,5,1,NULL
AD1668CAD,POAGE CADILLAC,4300 Broadway,QUINCY,IL,62305,75,39.93508,-91.345393,5,1,NULL
AD1669JEP,DON JOHNSON JEEP,2101 Central Boulevard,BROWNSVILLE,TX,78520,50,25.934861,-97.510341,1,1,NULL
AD1670DGE,DON JOHNSON DODGE,2101 Central Boulevard,BROWNSVILLE,TX,78520,50,25.934861,-97.510341,5,67,NULL
AD1672BEN,FLAGSHIP MOTORCARS OF LYNNFIELD,"385 Broadway, Route 1",LYNNFIELD,MA,1940,20,42.511724,-71.007537,4.9,539,NULL
AD1673CHV,ORR CHEVROLET,1000 Truman Baker Drive,SEARCY,AR,72143,50,35.236935,-91.696487,4.6,2,NULL
AD1675CAD,ORR CADILLAC,1000 Truman Baker Drive,SEARCY,AR,72143,50,35.236935,-91.696487,3,3,NULL
AD1676BUI,ORR BUICK,1000 Truman Baker Drive,SEARCY,AR,72143,50,35.236935,-91.696487,1,3,NULL
AD1679ACU,ACURA OF FAYETTEVILLE,1418 W Showroom Dr,FAYETTEVILLE,AR,72704,150,36.107885,-94.178832,4.9,6,NULL
AD1680FRD,TOMBALL FORD,22702 SH249,TOMBALL,TX,77375,20,30.0856,-95.5925,4.4,110,NULL
AD1681HON,CURRY HONDA,3845 Crompond Rd,YORKTOWN HEIGHTS,NY,10598,20,41.2957,-73.7917,4.5,225,NULL
AD1683FIT,FIAT OF FAYETTEVILLE,1253 W Showroom Dr,FAYETTEVILLE,AR,72704,150,36.087149,-94.228175,0,0,NULL
AD1685CHV,CHEVROLET OF FAYETTEVILLE,1310 W Showroom Dr,FAYETTEVILLE,AR,72704,150,36.108434,-94.177384,0,0,NULL
AD1686ACU,ACURA OF FAYETTEVILLE,1418 W Showroom Dr,FAYETTEVILLE,AR,72704,150,36.107885,-94.178832,0,0,NULL
AD1688CRY,LINWOOD CHRYSLER,3345 Park Avenue,PADUCAH,KY,42001,28,37.083848,-88.654406,4.9,97,NULL
AD1689JEP,LINWOOD JEEP,3345 Park Avenue,PADUCAH,KY,42001,28,37.083848,-88.654406,4.9,97,NULL
AD1692RAM,LINWOOD RAM,3345 Park Avenue,PADUCAH,KY,42001,28,37.083848,-88.654406,4.9,97,NULL
AD1693CRY,EVERETT CHRYSLER,3709 S Thompson,SPRINGDALE,AR,72764,50,36.151496,-94.14388,1.7,6,NULL
AD1695JEP,EVERETT JEEP,3709 S Thompson,SPRINGDALE,AR,72764,50,36.151496,-94.14388,1.7,6,NULL
AD1696RAM,EVERETT RAM,3709 S Thompson,SPRINGDALE,AR,72764,50,36.151496,-94.14388,1.7,6,NULL
CO046,GRAND WEST HYUNDAI,2162 HIGHWAY 6 AND 50,GRAND JUNCTION,CO,81505,NULL,39.114227,-108.65272,2.9,9,67
CO047,BOULDER HYUNDAI,2555 30TH STREET,BOULDER,CO,80301,NULL,40.026603,-105.253691,4.7,19,95
OH073,HYUNDAI OF BEDFORD,18300 ROCKSIDE ROAD,BEDFORD,OH,44146,50,41.404422,-81.549668,4.7,85,94
OK031,TULSA HYUNDAI,9777 S. Memorial Drive,TULSA,OK,74133,50,36.022785,-95.886365,4.5,33,96
WV017,BILL COLE HYUNDAI,720 OAKVALE ROAD,PRINCETON,WV,24740,NULL,37.362684,-81.05726,4.9,27,100
AD1662MAZ,GULLO MAZDA,750 I-45 South,CONROE,TX,77304,30,30.291644,-95.473662,5,27,NULL
AD1666BUI,POAGE BUICK,4300 Broadway,QUINCY,IL,62305,75,39.93508,-91.345393,5,1,NULL
AD1684HON,HONDA OF FAYETTEVILLE,1384 W Showroom Dr,FAYETTEVILLE,AR,72704,150,36.108434,-94.177384,0,0,NULL
AD1687DGE,TOMBALL DODGE,23777 SH 249,TOMBALL,TX,77375,15,30.0856,-95.5925,4.2,152,NULL
CA350,STOCKTON HYUNDAI,2979 Auto Center Circle,STOCKTON,CA,95212,50,38.016857,-121.277729,4.7,27,NULL
AD1647JEP,POWAY JEEP,13811 Poway Road,POWAY,CA,92064,20,32.956268,-117.031787,1,3,NULL
AD1671RAM,DON JOHNSON RAM,2101 Central Boulevard,BROWNSVILLE,TX,78520,50,25.934861,-97.510341,1,1,NULL
AD1674GMC,ORR GMC,1000 Truman Baker Drive,SEARCY,AR,72143,75,35.236935,-91.696487,1,3,NULL
AD1691DGE,LINWOOD DODGE,3345 Park Avenue,PADUCAH,KY,42001,28,37.083848,-88.654406,4.9,97,NULL
AD1694DGE,EVERETT DODGE,3709 S Thompson,SPRINGDALE,AR,72764,50,36.151496,-94.14388,1.7,6,NULL
XX001,TEST DEALER,2 Infinite Loop 1,CUPERTINO,CA,35119,54,37.33345,-122.029483,4.8,599,98
AD1635ACU,TEST NAME,test address,TEST,TX,12345,NULL,42.810058,-73.951053,5,1,NULL
AD1654BMW,TEST DEALERSHIP,123 Test Lane,TESTVILLE,TX,12345,NULL,42.810058,-73.951053,0,0,NULL
ZZ01,SmartLeads Demo Dealership 1,123 Test Way,Austin,TX,34238,NULL,27.2383,-82.4771,4.8,320,NULL
WW01,SmartLeads Demo Dealership 3,15151 Route 23 South,Wayne,NJ,07470-7508,NULL,40.9455,-74.2459,4.6,94,NULL
PP01,SmartLeads Demo Dealership 2,1440 W. Loop 3401,Waco,TX,76712,NULL,31.5041,-97.2299,4.8,320,NULL
6525602,Shelly BMW CCRC,20 McLaren,Irvine,CA,92618-2851,NULL,33.635801,-117.71767,3.2,49,55
M2074103,MINI of North Scottsdale Body Shop,Reception only: 18018 North Scottsdale Rd.,Phoenix,AZ,85054-6139,NULL,33.648888,-111.925497,3.7,50,NULL
M4009301,Motor City MINI,29929 Telegraph Rd,Southfield,MI,48034-7608,NULL,42.507651,-83.285645,0,0,NULL
1648303,BMW of Escondido CCRC,240 S Andreasen Dr,Escondido,CA,92029-1321,NULL,33.116988,-117.111228,3.7,102,67
8480002,West German BMW VPC,525 N Bethlehem Pike,Ambler,PA,19002-2508,NULL,40.173198,-75.224231,4.8,117,96
M0461803,Niello MINI,3210 Auburn Boulevard,Sacramento,CA,95821-1902,NULL,38.634924,-121.388817,5,92,NULL
5656803,BMW Gallery Parts Warehouse,101 Morgan Drive,Norwood,MA,02062-5012,NULL,42.170399,-71.190496,4.5,147,88
M4030401,MINI of Arlington,2001 N Collins St,Arlington,TX,76011-8844,NULL,32.766566,-97.097109,3.6,503,90
7635002,BMW of Tenafly Service Annex,245 County Rd,Tenafly,NJ,07670-1818,NULL,40.932671,-73.959341,4.1,242,77
2200703,South Bay BMW VPC,18900 Hawthorne Boulevard,Torrance,CA,90504-5514,NULL,33.858717,-118.353119,3.9,395,71
2641903,Bill Pearce BMW CCRC,745 Harvard Way,Reno,NV,89502-2035,NULL,39.518946,-119.78582,3.6,53,67
2986702,Fields BMW of Daytona CCRC,1700 Mason Ave,Daytona Beach,FL,32117-5119,NULL,29.209614,-81.071922,4.9,137,97
M3101503,Baron MINI Body Shop,6231 Mastin St.,Merriam,KS,66203-0000,NULL,39.02299,-94.667204,2.8,65,NULL
3101503,Baron BMW CCRC,6231 Mastin St.,Merriam,KS,66203-0000,NULL,39.02299,-94.667204,2.6,68,33
2620002,Daniels BMW CCRC,1327 W Tilghman St,Allentown,PA,18102-2127,NULL,40.608081,-75.490057,4.9,343,98
5280003,Karl Knauz Motors CCRC,775 Rockland Rd,Lake Bluff,IL,60044-2208,NULL,42.279561,-87.861701,4.9,603,98
3602102,Kuni BMW CCRC,3725 SW Cedar Hills Blvd,Beaverton,OR,97005-2024,NULL,45.492206,-122.810746,4.8,300,97
3579702,Passport BMW CCRC,4721 Auth Place,Suitland,MD,20746-4221,NULL,38.824272,-76.919898,2.5,248,29
M0449703,MINI of Concord Body Shop,1321 Galaxy Way Ste B,Concord,CA,94520-4999,NULL,37.979862,-122.048406,5,74,NULL
2616702,BMW of Austin CCRC,2450 N Mays St,Round Rock,TX,78665-2409,NULL,30.535721,-97.688489,4.6,152,87
3669602,Sam Swope BMW CCRC,2000 Plantside Dr,Louisville,KY,40299-1922,NULL,38.21361,-85.570444,4.1,80,77
4030502,BMW of Catonsville CCRC,1501 S Caton Ave,Baltimore,MD,21227-1126,NULL,39.262175,-76.665518,4.9,307,99
4030501,BMW of Catonsville,6700 Baltimore National Pike,Baltimore,MD,21228-3909,NULL,39.290159,-76.771567,4.9,258,99
M6673002,Towne MINI,8240 Main Street,Williamsville,NY,14221-6028,NULL,42.965038,-78.687282,3,5,NULL
3490902,BMW of Bloomington CCRC,1705 Morrissey Dr,Bloomington,IL,61704-7101,NULL,40.454918,-88.96826,1,4,0
2118802,Irvine BMW CCRC,20 McLaren,Irvine,CA,92618-2851,NULL,33.635801,-117.71767,3,16,50
2160702,Crown BMW CCRC,719 Camann St,Greensboro,NC,27407-1501,NULL,36.062822,-79.870255,3.7,121,64
3183302,BMW of Northwest Arkansas CCRC,2104 S 8th St,Rogers,AR,72758-6428,NULL,36.303484,-94.126528,4.6,29,88
2118102,Plaza Motor Company CCRC,11820 Lackland Rd,Saint Louis,MO,63146-4206,NULL,38.698099,-90.435558,3.9,60,68
M2123403,MINI of Nashville,1572 Mallory Lane,Brentwood,TN,37027-2859,NULL,35.975663,-86.807939,5,3,NULL
1669402,Grayson BMW CCRC,8729 Kingston Pike,Knoxville,TN,37923-5126,NULL,35.917797,-84.072786,4.5,100,88
4030401,BMW of Arlington,1105 E Lamar Blvd,Arlington,TX,76011-4344,NULL,32.764836,-97.094388,3.6,503,27
4030402,BMW of Arlington CCRC,401 N Collins St,Arlington,TX,76011-7321,NULL,32.741973,-97.097367,2.4,505,27
2064803,United BMW of Gwinnett Place CCRC,3150 Steve Reynolds Blvd,Duluth,GA,30096-4516,NULL,33.960624,-84.141288,4.7,331,93
3664004,BMW of the Main Line Wholesale Parts Annex,134 Rock Hill Road,Bala Cynwyd,PA,19004-2133,NULL,40.020825,-75.23583,2.2,21,29
3664003,BMW of the Main Line VPC,214 Bala Ave,Bala Cynwyd,PA,19004-2920,NULL,40.006002,-75.232274,3.9,227,71
M2641903,MINI of Reno Body Shop,745 Harvard Way,Reno,NV,89502-2035,NULL,39.518946,-119.78582,4.5,165,NULL
M3041402,Motorwerks MINI,705 Louisiana Avenue South,Golden Valley,MN,55426-1652,NULL,44.973845,-93.370433,4.2,21,NULL
2074103,BMW of North Scottsdale (CCRC),Reception only: 18018 North Scottsdale Rd.,Phoenix,AZ,85054-6139,NULL,33.648888,-111.925497,2.9,201,35
M2118803,Irvine MINI,9829 Research Drive,Irvine,CA,92618-0000,NULL,33.631277,-117.727091,0,0,NULL
6577503,BMW of Manhattan VPC,793 11th Ave,New York,NY,10019-3504,NULL,40.769162,-73.992375,4.7,347,94
